endTime,artistName,trackName,msPlayed
2019-12-16 17:43,Electric Guest,Play With Me,215933
2019-12-16 17:46,Electric Guest,Birthday,176879
2019-12-17 01:22,Electric Guest,24-7,208933
2019-12-17 01:23,Electric Guest,Freestyle,32177
2019-12-17 01:26,Electric Guest,1 4 Me,8513
2019-12-17 01:26,Electric Guest,Dollar,208746
2019-12-17 01:30,Tommy Newport,Million,190687
2019-12-17 01:33,Jelani Aryeh,Patagonia,192080
2019-12-17 01:36,MadStarBase,First Kiss,197272
2019-12-17 01:39,Adot,Reflection,1083
2019-12-17 01:39,Adot,Reflection,1030
2019-12-17 01:39,MIA GLADSTONE,Hold It Down,921
2019-12-17 01:39,MIA GLADSTONE,Hold It Down,171588
2019-12-17 01:39,MIA GLADSTONE,Hold It Down,646
2019-12-17 01:42,Adot,Reflection,199706
2019-12-17 01:43,Your Old Droog,Train Love,27233
2019-12-17 01:46,Mocky,Sweet Things,167275
2019-12-17 01:47,Manymoons,Coastin',75885
2019-12-17 01:47,Lord Bones,LSD,4639
2019-12-17 01:47,Tidus,Spirit Singin,4274
2019-12-17 01:48,Tidus,Spirit Singin,47626
2019-12-17 02:11,Lord Bones,LSD,224980
2019-12-17 02:14,Hope Tala,Lovestained,175280
2019-12-17 02:14,Hope Tala,Lovestained,2714
2019-12-17 02:14,Inner Wave,Mushroom,17815
2019-12-17 02:17,Inner Wave,Mushroom,144815
2019-12-17 02:19,Jitwam,I'm a Rock,142477
2019-12-17 02:21,McClenney,Get Back,87589
2019-12-17 02:21,Chef,Rags,8314
2019-12-17 02:22,Deem Spencer,Iwyboft,58061
2019-12-17 02:26,Choo Jackson,HD (feat. Mac Miller),245864
